Name,FathersName,Mobile,SGPA,Marks
Aman Kumar,Rajesh Kumar,9876543210,8.2,85
Riya Sharma,Anil Sharma,9876543211,6.1,35
Kunal Verma,Suresh Verma,9876543212,5.9,55
Neha Singh,Arvind Singh,9876543213,7.4,72
Rohit Gupta,Mahesh Gupta,9876543214,6.0,40
Anjali Mehta,Rakesh Mehta,9876543215,8.6,88
Saurabh Yadav,Vinod Yadav,9876543216,4.9,32
Pooja Patel,Kiran Patel,9876543217,7.1,68
Rahul Mishra,Ajay Mishra,9876543218,6.5,61
Sneha Joshi,Prakash Joshi,9876543219,8.9,91
Aditya Saxena,Manoj Saxena,9876543220,7.8,76
Kriti Agarwal,Sanjay Agarwal,9876543221,5.4,48
Vikas Pandey,Ram Pandey,9876543222,6.9,66
Simran Kaur,Gurpreet Kaur,9876543223,8.1,82
Nitin Chauhan,Ravindra Chauhan,9876543224,4.2,29
Isha Kapoor,Sunil Kapoor,9876543225,9.0,94
Aakash Jain,Deepak Jain,9876543226,7.3,70
Ritu Malhotra,Vikas Malhotra,9876543227,6.7,63
Harsh Bansal,Mukesh Bansal,9876543228,5.1,45
Kavya Arora,Naveen Arora,9876543229,8.4,86
Manish Thakur,Devendra Thakur,9876543230,6.2,58
Priya Nair,Krishnan Nair,9876543231,7.9,79
Abhishek Roy,Amit Roy,9876543232,5.6,52
Shivam Tiwari,Satish Tiwari,9876543233,6.8,65
Nandini Ghosh,Subhash Ghosh,9876543234,8.7,90
Deepak Soni,Rajendra Soni,9876543235,4.5,33
Aditi Kulkarni,Madhav Kulkarni,9876543236,7.6,74
Mohit Rana,Baljeet Rana,9876543237,5.8,57
Tanvi Deshpande,Anil Deshpande,9876543238,8.0,80
Yash Khanna,Alok Khanna,9876543239,6.3,60
Rohini Das,Sudip Das,9876543240,7.2,69
Siddharth Jain,Pankaj Jain,9876543241,8.8,92
Pallavi Shukla,Naresh Shukla,9876543242,5.0,41
Arjun Reddy,Srinivas Reddy,9876543243,6.6,62
Mehul Shah,Nitin Shah,9876543244,7.7,75
Kiran Rao,Mohan Rao,9876543245,4.8,30
Shreya Banerjee,Pradip Banerjee,9876543246,8.3,84
Gaurav Malviya,Santosh Malviya,9876543247,6.4,59
Pankaj Lodhi,Ram Lodhi,9876543248,5.2,44
Nisha Kumari,Om Prakash,9876543249,7.0,67
Amit Solanki,Bharat Solanki,9876543250,6.1,54
Rashmi Shetty,Ramesh Shetty,9876543251,8.5,87
Tarun Bhatia,Kapil Bhatia,9876543252,5.7,56
Kajal Joshi,Mahendra Joshi,9876543253,7.4,71
Sandeep Rawat,Brij Rawat,9876543254,4.3,28
Muskan Ali,Salim Ali,9876543255,8.2,83
Ravi Pratap,Virendra Pratap,9876543256,6.9,64
Alisha Khan,Imran Khan,9876543257,7.8,78
Vivek Choudhary,Shyam Choudhary,9876543258,5.5,50
Pritam Sen,Debashis Sen,9876543259,6.0,53
